country_id,island_id,prefecture_id,commune_id,town_village_id,town_village_name,latitude,longitude
KM,KM2,KM21,KM213,KM213_0004,SADA CHIHOUWE,,
KM,KM2,KM21,KM213,KM213_0005,SADA MHUWAMBOI,,
KM,KM2,KM21,KM213,KM213_0006,BOUNI,-11.48978536633614,43.39771731137217
KM,KM2,KM21,KM213,KM213_0007,HEROUMBILI,-11.54578565320765,43.38802003936819
KM,KM2,KM21,KM213,KM213_0008,BATOU,-11.50154408896333,43.36653367861476
KM,KM2,KM21,KM213,KM213_0009,KOURANI YA HAMAHAMET,,
KM,KM2,KM21,KM213,KM213_0010,IFOUNDIHE YA HAMAHAMET,-11.51793362814303,43.38639721658351
KM,KM2,KM21,KM213,KM213_0011,MNOUNGOU,-11.52157343091736,43.38391907835827
KM,KM2,KM21,KM212,KM212_0001,DIMADJOU YA HAMAHAMET,,
KM,KM2,KM21,KM212,KM212_0002,NYADOMBWENI,-11.47096842654614,43.38617949347045
KM,KM2,KM21,KM212,KM212_0003,MDJIHARI,-11.48747353957027,43.38290596455405
KM,KM2,KM21,KM212,KM212_0004,MOIDJA,-11.46614794319647,43.38795094160994
KM,KM2,KM21,KM212,KM212_0005,BAMBADJANI,,
KM,KM2,KM21,KM212,KM212_0006,NGOLE,-11.46858507749499,43.39742972274392
KM,KM2,KM21,KM212,KM212_0007,ITSANDZENI,-11.47572933779153,43.39366352198243
KM,KM2,KM21,KM212,KM212_0008,OUELLAH YA HAMAHAMET,-11.47665238153512,43.402823870097
KM,KM2,KM21,KM212,KM212_0009,HADJAMBOU,-11.45968069783523,43.40196631052698
KM,KM2,KM21,KM212,KM212_0010,MBATSE YA HAMAHAMET,-11.45757424275266,43.39260593574674
KM,KM2,KM21,KM211,KM211_0001,MADJEOUENI,,
KM,KM2,KM21,KM211,KM211_0002,SADANI YA MBOIKOU,,
KM,KM2,KM21,KM211,KM211_0003,TRELEZINI,-11.41391903952383,43.38832781092164
KM,KM2,KM21,KM211,KM211_0004,CHEZANI,-11.43192125204272,43.3964501979752
KM,KM2,KM21,KM211,KM211_0005,NDROUDE,-11.4213265914408,43.4097445124289
KM,KM2,KM21,KM211,KM211_0006,NIOUMAMILIMA,-11.44229465950162,43.40421059441231
KM,KM2,KM21,KM211,KM211_0007,HANTSINDZI,-11.43183300103182,43.41116716696693
KM,KM2,KM21,KM211,KM211_0008,BANDAMADJI LA MBOIKOU,-11.48267112010393,43.38699558799189
KM,KM2,KM26,KM261,KM261_0001,BANGOIKOUNI,,
KM,KM2,KM26,KM261,KM261_0002,BATSA YA MITSAMIHOULI,-11.39790862267088,43.37227064485151
KM,KM2,KM26,KM261,KM261_0003,OUZIO,-11.4044228,43.3758577
KM,KM2,KM26,KM261,KM261_0004,IVOINI,-11.3902679,43.3934696
KM,KM2,KM26,KM262,KM262_0001,OUEMANI,,
KM,KM2,KM26,KM262,KM262_0002,KOUA,-11.40565087084636,43.34757801821325
KM,KM2,KM26,KM262,KM262_0003,KOUA,-11.4056579075206,43.3465683557111
KM,KM2,KM26,KM262,KM262_0004,OUELLAH YA MITSAMIHOULI,-11.39400456608175,43.34042184423426
KM,KM2,KM26,KM263,KM263_0001,MEMBOI - BOINI,,
KM,KM2,KM26,KM263,KM263_0002,HADAWA,,
KM,KM2,KM26,KM263,KM263_0003,FASSI,-11.40703462669001,43.27698198782684
KM,KM2,KM26,KM263,KM263_0004,MITSAMIHOULI,-11.3888547,43.2930126
KM,KM2,KM26,KM263,KM263_0005,NKOURANI YA MITSAMIHOULI,,
KM,KM2,KM26,KM263,KM263_0006,NDZAOUZE,-11.40747624763063,43.27845488795408
KM,KM2,KM26,KM264,KM264_0001,BANGOI MAFUSA NKOA,,
KM,KM2,KM26,KM264,KM264_0002,MEMBOI - DJOU,-11.40352975754021,43.3237181990453
KM,KM2,KM26,KM264,KM264_0003,PIDJANI,-11.7632851,43.4515954
KM,KM2,KM26,KM264,KM264_0004,PIDJANI,-11.40882116931708,43.31436164531659
KM,KM2,KM26,KM264,KM264_0005,SONGOMANI,-11.40124567416017,43.30290961583977
KM,KM2,KM26,KM264,KM264_0006,TOIYFA,-11.41161658570176,43.30920045904328
KM,KM2,KM26,KM264,KM264_0007,NTSADJENI,,
KM,KM2,KM26,KM264,KM264_0008,FOUNGA,-11.41553451680188,43.29725419266135
KM,KM2,KM26,KM264,KM264_0009,OUHOZI,-11.4020466,43.2941378
KM,KM2,KM26,KM265,KM265_0001,DJOMANI,,
KM,KM2,KM26,KM265,KM265_0002,CHAMLE,-11.44765,43.276791
KM,KM2,KM26,KM265,KM265_0003,VOUVOUNI YA MBOUNDE,,
KM,KM2,KM26,KM265,KM265_0004,MANDZA YA MBOUDE,-11.4212636,43.3050624
KM,KM2,KM26,KM265,KM265_0005,MDJOIEZI YA MBOUNDE,-11.44618350414512,43.30107155083703
KM,KM2,KM26,KM265,KM265_0006,HELINDJE,-11.44038065465517,43.31357850289858
KM,KM2,KM26,KM265,KM265_0007,DOUNIANI,-11.4242569,43.2983679
KM,KM2,KM26,KM265,KM265_0008,KOUA,-11.40565087084636,43.34757801821325
KM,KM2,KM26,KM265,KM265_0009,KOUA,-11.4056579075206,43.3465683557111
KM,KM2,KM26,KM266,KM266_0001,NTSAOUENI,,
KM,KM2,KM26,KM266,KM266_0002,IVEMBENI,-11.4796887,43.3259914
KM,KM2,KM26,KM266,KM266_0003,DJONGOE,-11.4675610308968,43.28925237217496
KM,KM2,KM26,KM266,KM266_0004,MAOUENI YA MBOUDE,-11.4669826,43.3249831
KM,KM2,KM26,KM266,KM266_0005,SIMBOUSSA YA MBOUDE,-11.46917108118241,43.28756356959325
KM,KM2,KM26,KM266,KM266_0006,NTSORALE YA MBOUDE,-11.47548241525642,43.3041366458319
KM,KM2,KM26,KM266,KM266_0007,DOMOIDJOU,-11.48742364099441,43.2872544042758
KM,KM2,KM26,KM266,KM266_0008,DOMOIMBOINI,-11.4909321719639,43.27828621324601
KM,KM2,KM26,KM266,KM266_0009,MOIDJA YA MBOUDE,-11.47145133531327,43.29856070811648
KM,KM2,KM23,KM233,KM233_0001,HAHAYA,,
KM,KM2,KM23,KM233,KM233_0002,BOENINDI,-11.5664502,43.2867013
KM,KM2,KM23,KM233,KM233_0003,MBAMBANI YA HAMANVOU,-11.55689073602729,43.32100650691998
KM,KM2,KM23,KM233,KM233_0004,MBALENI,,
KM,KM2,KM23,KM233,KM233_0005,OUSSIVO,-11.588576,43.2766194
KM,KM2,KM23,KM233,KM233_0006,MBANGANI,,
KM,KM2,KM23,KM233,KM233_0007,DIBOINI,-11.5600257,43.3220221
KM,KM2,KM23,KM233,KM233_0008,BIBAVOU,-11.5772493,43.2872999
KM,KM2,KM23,KM233,KM233_0009,MILEVANI,-11.55527994994988,43.29868634664427
KM,KM2,KM23,KM235,KM235_0001,BATSA ITSANDRA,,
KM,KM2,KM23,KM235,KM235_0002,VANAMBOINI,-11.61498594113464,43.26285484305488
KM,KM2,KM23,KM235,KM235_0003,VANADJOU,-11.61070176560084,43.28567873864259
KM,KM2,KM23,KM235,KM235_0004,MHANDANI,-11.61408863684719,43.27671840493721
KM,KM2,KM23,KM235,KM235_0005,DZAHADJOU LA ITSANDRA,-11.62985962546771,43.28378175420669
KM,KM2,KM23,KM235,KM235_0006,VOUNA MBADANI,-11.61454045570641,43.27074562248822
KM,KM2,KM23,KM231,KM231_0001,ITSANDRA MDJINI,,
KM,KM2,KM23,KM231,KM231_0002,SALIMANI YA ITSANDRA,-11.68426517737763,43.27472603239897
KM,KM2,KM23,KM231,KM231_0003,SAMBA MBODONI,-11.67513716887363,43.27810438762234
KM,KM2,KM23,KM231,KM231_0004,DZAHANI LA TSIDJE,-11.66092453146139,43.28475371014265
KM,KM2,KM23,KM231,KM231_0005,MAOUENI YA ITSANDRA,-11.67489295143956,43.27764580940319
KM,KM2,KM23,KM231,KM231_0006,MIRONTSI YA ITSANDRA,-11.68235042563022,43.27236948207425
KM,KM2,KM23,KM231,KM231_0007,BANDAMADJI LA ITSANDRA,-11.6712913,43.2674221
